N,T,edge_per_t,evidences_per_t,model,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_plus_estimated,epsilon_minus_estimated,X0_r2,time,last_iteration,real_epsilon_plus,real_epsilon_minus,mu_plus,mu_minus,rho,distance_epsilon_plus,distance_epsilon_minus
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.48436456977211845,0.5616139743205565,0.8243193626403809,10.79048490524292,201,0.23701213595974524,0.6786887460344762,0.3361966465551942,0.407416215903543,16,0.2473524338123732,0.11707477171391967
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.48371525177427555,0.5284545366719374,0.4355388283729553,23.851646184921265,401,0.23701213595974524,0.6786887460344762,0.3361966465551942,0.407416215903543,16,0.2467031158145303,0.15023420936253873
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.4731393746770892,0.35636036164053425,0.7694801092147827,9.393323183059692,201,0.2456288215899195,0.5937029523293651,0.21342330270748605,0.013992850564784776,16,0.22751055308716972,0.23734259068883085
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.46768513714713517,0.29289465842295964,0.7526183128356934,28.57980227470398,401,0.2456288215899195,0.5937029523293651,0.21342330270748605,0.013992850564784776,16,0.22205631555721567,0.30080829390640546
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.5445501086469466,0.5962406649906692,0.566055178642273,9.3056161403656,201,0.33479359075597914,0.7650468655626439,0.23206742740389708,0.4311975222604555,16,0.2097565178909675,0.1688062005719747
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.5591865768465547,0.6112225784668516,0.36229491233825684,18.628662824630737,401,0.33479359075597914,0.7650468655626439,0.23206742740389708,0.4311975222604555,16,0.22439298609057556,0.15382428709579232
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.3237536951247482,0.7283390561089904,0.057411909103393555,17.796645641326904,201,0.14613472174671227,0.9888258117299455,0.08700159034860455,0.4855403266811501,16,0.17761897337803595,0.26048675562095513
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.22647324315837444,0.5660355840256942,-4.296896934509277,35.274407625198364,401,0.14613472174671227,0.9888258117299455,0.08700159034860455,0.4855403266811501,16,0.08033852141166217,0.42279022770425134
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.34925717457061073,0.2897026811543587,0.42254626750946045,10.162154197692871,201,0.10825895856183876,0.5635595979031872,0.33388222968952497,0.2206301502196028,16,0.24099821600877197,0.2738569167488285
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.33541392984102786,0.3700200628929097,0.5952796936035156,18.991098642349243,401,0.10825895856183876,0.5635595979031872,0.33388222968952497,0.2206301502196028,16,0.2271549712791891,0.19353953501027754
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.46966573359620317,0.60655629284881,0.8222262263298035,9.442713260650635,201,0.2317292669012211,0.7503544281745376,0.13434025212420403,0.3655988727911687,16,0.23793646669498209,0.1437981353257276
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.4503799444356745,0.5511589471344991,0.6157176494598389,18.883689165115356,401,0.2317292669012211,0.7503544281745376,0.13434025212420403,0.3655988727911687,16,0.21865067753445339,0.19919548104003848
100,64,16,8,backfire,RMSprop,200,0.05,BC_backfire,0,1,0.5086477587417889,0.5105540012103031,-4.042699813842773,9.219312906265259,201,0.4644608622314309,0.9897454017265768,0.3244490157391276,0.2385090245472759,16,0.04418689651035801,0.4791914005162736
100,64,16,8,backfire,RMSprop,400,0.05,BC_backfire,0,1,0.5252535553050948,0.5765975306270532,-2.424475908279419,40.05371022224426,401,0.4644608622314309,0.9897454017265768,0.3244490157391276,0.2385090245472759,16,0.06079269307366386,0.41314787109952356
